user_id,activity_id,timestamp,user_rating
1,35,2025-01-14,3.9
2,12,2025-01-16,1.1
2,19,2025-05-16,2.9
3,1,2025-02-23,2.4
3,10,2025-04-12,1.5
3,2,2025-01-28,1.5
3,8,2025-04-17,3.3
4,11,2025-01-27,4.5
4,19,2025-04-09,2.3
4,14,2025-03-23,1.9
4,16,2025-04-10,1.2
4,17,2025-04-04,2.7
5,34,2025-04-26,1.6
5,38,2025-03-07,2.7
5,35,2025-05-26,5.0
5,37,2025-04-24,3.4
6,47,2025-03-20,5.0
6,46,2025-05-21,4.1
7,16,2025-03-03,1.7
7,12,2024-12-12,1.0
8,6,2025-04-17,1.0
9,45,2025-03-29,5.0
9,41,2025-01-29,5.0
9,48,2025-04-19,2.7
9,50,2024-12-12,1.2
9,49,2025-04-18,1.1
10,42,2025-04-05,4.6
10,49,2025-06-01,1.2
10,45,2025-05-21,4.1
10,47,2025-03-04,3.4
11,40,2024-12-30,1.6
11,34,2025-03-02,1.7
11,32,2025-03-26,3.3
12,5,2025-04-17,1.0
12,2,2025-02-23,1.0
13,47,2024-12-25,5.0
14,13,2025-03-05,5.0
14,16,2025-04-17,1.0
14,19,2025-03-08,2.4
15,12,2025-05-22,1.0
15,13,2024-12-28,3.6
15,14,2025-01-20,3.0
16,5,2025-02-03,1.0
16,9,2025-04-27,1.5
16,4,2025-05-16,4.0
16,6,2025-05-18,1.0
17,14,2024-12-28,3.6
18,47,2025-04-12,5.0
18,45,2025-05-16,4.9
18,42,2024-12-25,3.7
19,16,2025-03-04,1.5
19,14,2025-03-08,1.8
19,18,2024-12-23,4.2
19,19,2025-03-08,1.9
19,20,2025-05-27,2.1
20,23,2025-05-04,3.9
20,24,2025-04-08,4.5
20,25,2024-12-24,1.0
21,40,2025-04-27,1.0
21,37,2025-03-20,4.7
21,36,2025-03-09,2.1
21,32,2025-04-10,2.9
22,49,2025-02-26,2.7
22,48,2025-05-11,4.4
23,2,2025-01-04,1.0
24,7,2025-04-02,3.8
24,2,2025-01-25,2.8
25,18,2025-05-06,4.5
25,19,2024-12-29,1.9
25,15,2025-04-02,2.1
25,20,2025-02-04,1.0
25,11,2025-03-06,3.9
26,39,2024-12-21,2.7
27,32,2025-03-16,3.5
27,35,2025-03-10,4.1
27,37,2025-01-30,3.5
28,5,2025-01-18,1.0
29,49,2025-05-01,2.0
29,42,2025-04-17,4.5
30,49,2025-02-17,1.5
30,44,2025-03-02,4.3
30,43,2025-05-30,1.0
31,19,2025-03-13,3.0
31,20,2025-02-04,2.2
32,46,2025-04-17,4.0
32,48,2025-04-19,4.2
32,41,2025-06-09,4.6
32,49,2025-05-08,1.7
32,43,2025-03-02,1.0
33,44,2024-12-19,3.7
33,41,2025-03-24,4.2
33,50,2025-03-07,1.2
34,42,2025-02-13,4.9
35,39,2025-06-06,2.9
36,38,2024-12-18,3.0
36,39,2025-03-13,3.8
37,10,2025-01-28,2.6
37,7,2025-01-04,4.4
37,4,2025-05-31,4.6
37,5,2025-03-19,1.0
37,6,2025-02-28,1.4
38,37,2025-02-02,4.5
38,36,2025-05-06,1.0
38,38,2025-04-27,1.9
39,42,2025-05-30,3.8
39,44,2025-06-05,3.2
39,49,2025-04-09,2.3
39,41,2025-01-14,3.9
40,19,2025-05-31,3.3
40,14,2025-01-16,2.6
40,20,2025-05-15,2.3
40,11,2025-04-07,3.9
40,17,2025-04-09,2.7
41,34,2025-05-20,2.7
42,6,2025-05-17,1.4
43,5,2025-05-03,1.5
43,8,2025-05-01,4.2
44,20,2025-05-13,1.1
44,18,2025-05-04,4.0
45,17,2025-01-19,2.8
45,14,2025-05-10,2.2
45,12,2025-05-07,1.0
45,11,2025-03-17,3.7
46,37,2025-05-03,3.3
46,40,2025-01-08,1.0
46,38,2025-03-28,1.8
47,42,2025-05-02,3.8
48,2,2025-05-07,2.5
48,4,2025-05-26,3.3
48,9,2025-05-16,1.2
49,3,2025-02-15,4.9
